Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),BACK_SPACE:Zone People Total Heating Rate [W](TimeStep),CORE_RETAIL:Zone People Total Heating Rate [W](TimeStep),POINT_OF_SALE:Zone People Total Heating Rate [W](TimeStep),FRONT_RETAIL:Zone People Total Heating Rate [W](TimeStep),FRONT_ENTRY:Zone People Total Heating Rate [W](TimeStep),BACK_SPACE:Zone Lights Total Heating Rate [W](TimeStep),CORE_RETAIL:Zone Lights Total Heating Rate [W](TimeStep),POINT_OF_SALE:Zone Lights Total Heating Rate [W](TimeStep),FRONT_RETAIL:Zone Lights Total Heating Rate [W](TimeStep),FRONT_ENTRY:Zone Lights Total Heating Rate [W](TimeStep),BACK_SPACE:Zone Electric Equipment Total Heating Rate [W](TimeStep),CORE_RETAIL:Zone Electric Equipment Total Heating Rate [W](TimeStep),POINT_OF_SALE:Zone Electric Equipment Total Heating Rate [W](TimeStep),FRONT_RETAIL:Zone Electric Equipment Total Heating Rate [W](TimeStep),BACK_SPACE:Enclosure Windows Total Transmitted Solar Radiation Rate [W](TimeStep),CORE_RETAIL:Enclosure Windows Total Transmitted Solar Radiation Rate [W](TimeStep),POINT_OF_SALE:Enclosure Windows Total Transmitted Solar Radiation Rate [W](TimeStep),FRONT_RETAIL:Enclosure Windows Total Transmitted Solar Radiation Rate [W](TimeStep),FRONT_ENTRY:Enclosure Windows Total Transmitted Solar Radiation Rate [W](TimeStep),BACK_SPACE:Zone Mean Air Temperature [C](TimeStep),CORE_RETAIL:Zone Mean Air Temperature [C](TimeStep),POINT_OF_SALE:Zone Mean Air Temperature [C](TimeStep),FRONT_RETAIL:Zone Mean Air Temperature [C](TimeStep),FRONT_ENTRY:Zone Mean Air Temperature [C](TimeStep),BACK_SPACE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),CORE_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),POINT_OF_SALE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),FRONT_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),FRONT_ENTRY:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),DISTRICT HEATING UTILITY:District Heating Water Rate [W](TimeStep),BACK_SPACE_ERV_HX:Heat Exchanger Sensible Heating Rate [W](TimeStep),CORE_RETAIL_ERV_HX:Heat Exchanger Sensible Heating Rate [W](TimeStep),POINT_OF_SALE_ERV_HX:Heat Exchanger Sensible Heating Rate [W](TimeStep),FRONT_RETAIL_ERV_HX:Heat Exchanger Sensible Heating Rate [W](TimeStep),FRONT_ENTRY_ERV_HX:Heat Exchanger Sensible Heating Rate [W](TimeStep),BACK_SPACE BASEBOARD HEATER:Baseboard Total Heating Rate [W](TimeStep),BACK_SPACE BASEBOARD HEATER:Baseboard Hot Water Mass Flow Rate [kg/s](TimeStep),BACK_SPACE BASEBOARD HEATER:Baseboard Water Inlet Temperature [C](TimeStep),BACK_SPACE BASEBOARD HEATER:Baseboard Water Outlet Temperature [C](TimeStep),CORE_RETAIL BASEBOARD HEATER:Baseboard Total Heating Rate [W](TimeStep),CORE_RETAIL BASEBOARD HEATER:Baseboard Hot Water Mass Flow Rate [kg/s](TimeStep),CORE_RETAIL BASEBOARD HEATER:Baseboard Water Inlet Temperature [C](TimeStep),CORE_RETAIL BASEBOARD HEATER:Baseboard Water Outlet Temperature [C](TimeStep),POINT_OF_SALE BASEBOARD HEATER:Baseboard Total Heating Rate [W](TimeStep),POINT_OF_SALE BASEBOARD HEATER:Baseboard Hot Water Mass Flow Rate [kg/s](TimeStep),POINT_OF_SALE BASEBOARD HEATER:Baseboard Water Inlet Temperature [C](TimeStep),POINT_OF_SALE BASEBOARD HEATER:Baseboard Water Outlet Temperature [C](TimeStep),FRONT_RETAIL BASEBOARD HEATER:Baseboard Total Heating Rate [W](TimeStep),FRONT_RETAIL BASEBOARD HEATER:Baseboard Hot Water Mass Flow Rate [kg/s](TimeStep),FRONT_RETAIL BASEBOARD HEATER:Baseboard Water Inlet Temperature [C](TimeStep),FRONT_RETAIL BASEBOARD HEATER:Baseboard Water Outlet Temperature [C](TimeStep),FRONT_ENTRY BASEBOARD HEATER:Baseboard Total Heating Rate [W](TimeStep),FRONT_ENTRY BASEBOARD HEATER:Baseboard Hot Water Mass Flow Rate [kg/s](TimeStep),FRONT_ENTRY BASEBOARD HEATER:Baseboard Water Inlet Temperature [C](TimeStep),FRONT_ENTRY BASEBOARD HEATER:Baseboard Water Outlet Temperature [C](TimeStep),HW CIRCULATING PUMP:Pump Mass Flow Rate [kg/s](TimeStep),HW SUPPLY OUTLET NODE:System Node Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),DistrictHeatingWater:Facility [J](TimeStep),Fans:Electricity [J](TimeStep) 
 01/01  01:50:00,8.0,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,19.642565828467404,21.027881779995255,19.36789692247855,18.961014313342712,18.975376884185085,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,24.415002773026085,7011891.392463634,0.0,0.0 
 01/01  02:00:00,8.0,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,19.587304541089058,20.99063642055474,19.313707686879773,18.9010187667813,18.892731063044824,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,0.0,39.29676399227818,39.29676399227818,0.0,24.415002773026085,7074436.973065676,0.0,0.0 
 01/01  02:10:00,7.833333333333334,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,21.035310421503542,21.90108752033828,21.144921595850803,20.778967946469095,25.00562502035416,24.0,24.0,24.0,24.0,24.0,62588.245885979966,0.0,0.0,0.0,0.0,0.0,15450.130895370075,0.6620059995969197,32.44845554296246,26.865117075129547,38976.763501814174,1.8171066063215866,32.44845554296246,27.316899399050804,7912.635944892948,0.340523482770503,32.44845554296246,26.889440666712368,8168.127008068993,0.3405432086233951,32.44845554296246,26.710278063955798,1790.1758442708485,0.029971536434735047,32.44845554296246,27.722931235096272,3.1901508337471394,31.47083333333334,7502633.313540514,37552947.53158799,0.0 
 01/01  02:20:00,7.666666666666667,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,21.832707327905133,22.487053356058148,22.060240262364715,21.72925140921184,24.095089494217547,24.0,24.0,24.0,24.0,24.0,61770.127107285385,0.0,0.0,0.0,0.0,0.0,13256.221792039178,0.6620059995969197,31.62001273832066,26.829504905678476,33850.079534238685,1.8171066063215866,31.62001273832066,27.163419424775377,6682.216518040097,0.340523482770503,31.62001273832066,26.925427863088974,6914.708926102871,0.34054320862339515,31.62001273832066,26.762371935912277,1077.4734028772618,0.03422634427716571,31.62001273832066,25.35291199916198,3.1944056415895696,31.641666666666666,7503320.749202646,37062076.26437123,0.0 
 01/01  02:30:00,7.5,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,22.38294607509684,22.94904238537842,22.653635437310758,22.344021553027826,23.999774301630637,23.99999999999999,23.99999999999999,23.99999999999999,23.99999999999999,23.99999999999999,60036.815381073975,0.0,0.0,0.0,0.0,0.0,12827.04845693553,0.6620059995969194,31.79059040706533,27.15517640550327,33036.95949422095,1.8171066063215857,31.79059040706533,27.441049879903822,6426.381008452865,0.3405234827705028,31.79059040706533,27.27574252637923,6644.86913125632,0.340543208623395,31.79059040706533,27.122514315416055,1151.1411559075157,0.03550252075979435,31.79059040706533,24.03172589200112,3.195681818072197,31.812499999999993,7566092.012584244,36022089.2286444,0.0 
 01/01  02:40:00,7.333333333333333,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,22.755313379960562,23.30900958530809,23.028253014790405,22.730848885781306,24.00010095251586,24.000000000000007,24.000000000000007,24.000000000000007,24.000000000000007,24.000000000000007,58637.90428418574,0.0,0.0,0.0,0.0,0.0,12531.407579728675,0.66200599959692,31.961396301067836,27.432820428810402,32385.410905830664,1.817106606321587,31.961396301067836,27.697636579222696,6261.183045062589,0.3405234827705031,31.961396301067836,27.56260809283583,6469.810170907993,0.34054320862339527,31.961396301067836,27.416300591919565,1075.897992577021,0.03232980422659258,31.961396301067836,23.99974608817513,3.192509101538998,31.98333333333334,7503108.185582723,35182742.57051143,0.0 
 01/01  02:50:00,7.166666666666667,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,23.01490277688175,23.60465576456117,23.269446619124057,22.978111692018548,23.999724205915864,24.0,24.0,24.0,24.0,24.0,57446.80555751767,0.0,0.0,0.0,0.0,0.0,12309.035152327253,0.6620059995969197,32.13221497762022,27.683999623762524,31756.07836765705,1.8171066063215866,32.13221497762022,27.95131116690475,6151.600293497106,0.340523482770503,32.13221497762022,27.810414027537774,6353.022058257237,0.34054320862339515,32.13221497762022,27.669163893533025,1013.9619064948648,0.02983062528144479,32.13221497762022,24.00048403031213,3.190009922593849,32.15416666666667,7565285.578629598,34468083.3345106,0.0 
 01/01  03:00:00,7.0,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,23.195300221137188,23.822654608366854,23.436216430805437,23.147697163341185,24.000528653573927,24.0,24.0,24.0,24.0,24.0,57386.74409128087,0.0,0.0,0.0,0.0,0.0,12326.623569830042,0.6620059995969197,32.30303658003766,27.848465157827103,31699.895123127462,1.8171066063215866,32.30303658003766,28.129529675779988,6169.549703646939,0.340523482770503,32.30303658003766,27.96862528888332,6368.862590454629,0.34054320862339515,32.30303658003766,27.828857389712553,976.2989581464681,0.028129056637939923,32.30303658003766,23.999724205915882,3.1883083539503443,32.325,7502521.108520586,34432046.45476852,0.0 
 01/01  03:10:00,7.0,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,22.278412791132222,23.253518208235292,22.29553884911397,21.96937963294631,22.073038007004385,17.999999999999996,17.999999999999996,17.999999999999996,17.999999999999996,17.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.32492831993686,32.32492831993686,0.0,0.0,32.32492831993686,32.32492831993686,0.0,0.0,32.32492831993686,32.32492831993686,0.0,0.0,32.32492831993686,32.32492831993686,0.0,0.0,32.32492831993686,32.32492831993686,0.0,28.0405903431141,7011891.392463634,0.0,0.0 
 01/01  03:20:00,7.0,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,21.181294615999324,22.462649508011467,20.993396922303145,20.614460182597153,20.48697570241908,18.000000000000004,18.000000000000004,18.000000000000004,18.000000000000004,18.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.32492831993687,32.32492831993687,0.0,0.0,32.32492831993687,32.32492831993687,0.0,0.0,32.32492831993687,32.32492831993687,0.0,0.0,32.32492831993687,32.32492831993687,0.0,0.0,32.32492831993687,32.32492831993687,0.0,28.040590343114104,7074426.773502112,0.0,0.0 
 01/01  03:30:00,7.0,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,20.743032160019172,22.111296406980586,20.47630158464197,20.07151375616973,19.97557495054431,17.999999999999993,17.999999999999993,17.999999999999993,17.999999999999993,17.999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.32492831993685,32.32492831993685,0.0,0.0,32.32492831993685,32.32492831993685,0.0,0.0,32.32492831993685,32.32492831993685,0.0,0.0,32.32492831993685,32.32492831993685,0.0,0.0,32.32492831993685,32.32492831993685,0.0,28.04059034311409,7011891.392463634,0.0,0.0 
 01/01  03:40:00,7.0,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,20.447054579878603,21.849525487809146,20.126734384258388,19.705668401487536,19.699024440707205,18.000000000000007,18.000000000000007,18.000000000000007,18.000000000000007,18.000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.32492831993687,32.32492831993687,0.0,0.0,32.32492831993687,32.32492831993687,0.0,0.0,32.32492831993687,32.32492831993687,0.0,0.0,32.32492831993687,32.32492831993687,0.0,0.0,32.32492831993687,32.32492831993687,0.0,28.04059034311411,7074432.432914491,0.0,0.0 
 01/01  03:50:00,7.0,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,20.19251084008615,21.601426526119536,19.841852391206153,19.411809880481737,19.506834886945974,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.324928319936866,32.324928319936866,0.0,0.0,32.324928319936866,32.324928319936866,0.0,0.0,32.324928319936866,32.324928319936866,0.0,0.0,32.324928319936866,32.324928319936866,0.0,0.0,32.324928319936866,32.324928319936866,0.0,28.040590343114104,7011891.392463634,0.0,0.0 
 01/01  04:00:00,7.0,0.0,0.0,0.0,0.0,0.0,171.46487106000004,1464.33222042135,137.980819515,137.980819515,6.587508,453.8156191741482,765.2469481545237,480.4193040276802,72.10754423835535,0.0,0.0,0.0,0.0,0.0,19.978739548033168,21.380413460707917,19.620292031212607,19.185901523315994,19.344114896166573,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.324928319936866,32.324928319936866,0.0,0.0,32.324928319936866,32.324928319936866,0.0,0.0,32.324928319936866,32.324928319936866,0.0,0.0,32.324928319936866,32.324928319936866,0.0,0.0,32.324928319936866,32.324928319936866,0.0,28.040590343114104,7074433.551213305,0.0,0.0 
